Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Risk,Purpose
35,male,skilled,own,quite rich,moderate,2397,24,1,radio/TV
22,male,unskilled_and_non-resident,own,little,moderate,454,6,0,repairs
26,female,skilled,own,little,moderate,1715,30,0,radio/TV
23,male,unskilled_and_non-resident,own,quite rich,moderate,2520,27,1,radio/TV
54,female,highly skilled,rent,little,little,3568,15,0,radio/TV
29,male,skilled,rent,little,moderate,7166,42,0,radio/TV
40,male,unskilled_and_non-resident,own,little,little,3939,11,0,car
22,male,skilled,own,moderate,moderate,1514,15,0,repairs
43,male,unskilled_and_non-resident,own,little,little,7393,24,0,car
29,female,unskilled_and_non-resident,rent,little,little,1193,24,1,car
36,male,skilled,rent,little,little,7297,60,1,business
33,female,skilled,own,little,little,2831,30,0,radio/TV
57,female,unskilled_and_non-resident,own,quite rich,rich,1258,24,0,radio/TV
64,female,skilled,own,little,moderate,753,6,0,radio/TV
42,male,skilled,own,little,moderate,2427,18,0,business
47,male,unskilled_and_non-resident,own,little,little,2538,24,1,car
25,male,skilled,rent,moderate,moderate,1264,15,1,car
49,male,skilled,own,little,moderate,8386,30,1,furniture/equipment
33,male,highly skilled,rent,little,little,4844,48,1,business
28,female,highly skilled,own,moderate,rich,2923,21,0,car
26,male,skilled,own,little,little,8229,36,1,car
30,male,unskilled_and_non-resident,own,little,little,2028,24,0,furniture/equipment
25,female,skilled,rent,little,little,1433,15,0,furniture/equipment
33,male,skilled,own,little,rich,6289,42,0,business
64,female,skilled,own,moderate,moderate,1409,13,0,radio/TV
29,male,highly skilled,free,little,little,6579,24,0,car
48,male,unskilled_and_non-resident,own,little,moderate,1743,24,0,radio/TV
37,male,unskilled_and_non-resident,own,little,moderate,3565,12,0,education
34,male,unskilled_and_non-resident,own,moderate,moderate,1569,15,0,radio/TV
23,male,unskilled_and_non-resident,rent,little,little,1936,18,0,radio/TV
30,male,highly skilled,own,little,little,3959,36,0,furniture/equipment
50,male,skilled,own,little,moderate,2390,12,0,car
31,female,unskilled_and_non-resident,own,little,little,1736,12,0,furniture/equipment
40,male,highly skilled,own,little,little,3857,30,0,car
38,male,skilled,own,little,little,804,12,0,radio/TV
23,male,skilled,free,little,little,1845,45,1,radio/TV
27,male,skilled,own,moderate,moderate,4576,45,0,car
